year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc,seats_pr_sl,seats_mmp_mod,seats_pr_sl_pc,seats_mmp_mod_pc
2001,Bangladesh Peoples Congress,1155,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Communist Kendra,1042,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Communist Party of Bangladesh (Marxist–Leninist),972,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Hindu League,922,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Gano Azadi League,780,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Jatiyo Janata Party (Adv. Nurul Islam Khan),657,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Muslim League,582,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,National Patriotic Party,551,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,NAP (Bhashani),442,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Jatiya Tanti Dal,441,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Samridha Bangladesh Andolon,429,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Sramik Krishak Samajbadi Dal,391,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Peoples Party,382,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Desh Prem Party,366,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Democratic Republican Party,364,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Manabadhikar Dal,237,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Krisak Sramik Janata Party,197,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Liberal Democrats Party,170,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Quran Darshan Sangstha Bangladesh,161,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Jatiya Janata Party (Sheik Asad),148,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Pragatishil Ganotantrik Shakti,136,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Sama-Samaj Ganotantri Party,131,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,NAP (Bhashani),79,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Quran and Sunnah Bastabayan Party,77,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bhashani Front,76,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,BAKSAL,59,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Bhashani Adarsha Bastabayan Parishad,58,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Bangladesh Sarbahara Party,44,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Jatiya Janata Party (Hafizur),30,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
2001,Independents,2262073,4.06,6,12,6,2.0,4.0,1.71,12,6,4.0,1.71
